,business_id,Japanese,Mexican,Italian,American,Chinese,Thai,Creperies,French
0,tstimHoMcYbkSC4eBA1wEg,False,True,False,False,False,False,False,False
1,6fPQJq4f_yiq1NHn0fd11Q,False,False,False,False,False,False,True,True
2,k-dDZvTeLysoJvjHI-qr9g,False,False,False,False,False,False,False,False
3,eY98EH_PHGnJVaJ7t2UpoQ,False,False,False,False,False,False,False,True
4,wdsGP5rJinx0J5GcGzPQUw,False,False,False,False,False,False,False,False
5,k2b3niokS_tosjah_rzCPw,False,False,False,True,False,False,False,False
6,dusNIzdCaH6EoLl2hRy6cQ,False,True,False,False,False,False,False,False
7,hgQOESYp7CF4LnNI90XEiw,False,False,True,True,False,False,False,False
8,F06m2yQSPHIrb1IT7heYeQ,False,False,False,False,True,False,False,False
9,q4i-GbjeSp6ucBDXGE9DqA,False,False,False,False,False,True,False,False
10,H2Chxto2e6dHTDJ8-s3-pQ,False,True,False,False,False,False,False,False
11,SGPjYRy6x7R5ZlGa_nrskg,False,False,False,True,False,False,False,False
12,yKpdzrqe_qIbu9dB6bj9Gg,False,False,False,True,False,False,False,False
13,8bZ49zy4KlFVu5teFETYhQ,True,False,False,False,False,False,False,False
14,SAfuIUZMXrOnb3LWyvYjDA,False,False,False,False,False,False,False,False
15,aidcfUzZLOjWgwlxfv3UlA,False,False,True,True,False,False,False,False
16,W3ia8dkoGGRYEfFg_BiyPg,False,False,False,True,False,False,False,False
17,V78f9CdEVTkKFkyhdTYVrQ,False,False,False,True,False,False,False,False
18,I6qFvR-jVDGqDD_iVG38ng,False,False,False,False,False,False,False,False
19,vAbRNF0hJt91oCUpm_sdKw,False,False,False,False,False,False,False,False
20,BIbjBxoiJLS8CnNsSP64TQ,False,True,False,False,False,False,False,False
21,bZs7FJ7fHIJxVecfp1qvug,True,False,False,False,False,False,False,False
22,GMrwDXRlAZU2zj5nH6l4vQ,False,False,False,True,False,False,False,False
23,qVO3l9Q0-KVQE7W9JL9ePw,False,False,False,False,False,False,False,False
24,ujHiaprwCQ5ewziu0Vi9rw,False,False,False,True,False,False,False,False
25,G1lB2bUf1MT1FZT8TBy62g,False,True,False,False,False,False,False,False
26,DVfCbJhJUDWRlUfrKzaKOA,False,False,False,False,True,False,False,False
27,XDYCIRENiT2doRZgwNJ3SA,False,True,False,False,False,False,False,False
28,5yZ1XmDcOEsElDeb9PlPDQ,True,False,False,False,False,False,False,False
29,_j2EtQtgLuXGRBfbM5YwZA,False,False,False,False,True,False,False,False
30,5ma1OUQWy_Ds80xUiP7JPQ,False,False,False,False,False,False,False,False
31,hXY9Yq0nOLgHsWLbjam--A,False,False,False,False,False,False,False,False
32,arv3T_av9OoVo3SvxV4TXw,False,False,False,False,False,False,False,False
33,sZ3AWH6WPq38fEKijvl9vA,False,False,False,True,False,False,False,False
34,viFP7j-WLzVhkCFXWGWQDw,False,False,False,True,False,False,False,False
35,C2T7ecxqsVu99PhSqT3c3g,False,False,False,False,False,False,False,False
36,tMYYSWyTppDcF070Hmy-kQ,False,False,False,True,False,False,False,False
37,lVULxfPrpjnlOzF_jilRAA,False,True,False,False,False,False,False,False
38,S5FTckOpSK0_Ma4c18ZEgg,False,False,False,False,True,False,False,False
39,0gTTGuA6uEmMhLhfJi0hqA,False,False,False,True,False,False,False,False
40,_Fo8uNT17BEBUkKvUXCZkQ,False,True,False,True,False,False,False,False
41,6s7uduX1Q1KSjOKvwxYkRA,True,False,False,False,True,False,False,False
42,Vs7gc9EE3k9wARuUcN9piA,True,False,False,False,True,True,False,False
43,hCsJv234v62MgdsUU1j8dQ,False,False,False,False,False,False,False,False
44,FhIeCF6QrsLaRvAeu0oEPQ,False,False,False,True,False,False,False,False
45,YPK024huhY2np5hJ_5qWCw,False,False,False,True,False,False,False,False
46,8vkFJ_kA8XxDyjHfmsdEOg,False,False,False,False,False,False,False,False
47,cghHesD2NXV5yUu-ZAxE2g,False,False,False,True,False,False,False,False
48,Ia1JlEo7UUyZtmqRe1K1Pw,False,False,False,True,False,False,False,False
49,jJ2ca6wqp_YwTsdAWzplkQ,True,False,False,False,False,False,False,False
50,VkECNTcZZ1mdN-VJltJcWA,False,False,False,False,False,True,False,False
51,WLblFINiPI18_o1OdDsnVg,False,True,False,False,False,False,False,False
52,vpoXE7CsEMZNzBMDvkuqHg,False,False,False,False,False,True,False,False
53,c_iQzwsTDYraPvHSKz88QA,False,False,False,True,False,False,False,False
54,aNe8ofTYrealxqv7VtFTuw,False,False,False,True,False,False,False,False
